0,1
2020-01-02,"[['새해 토스·네이버·카카오 3파전…IT發 금융 대격돌', ""박진경·권해봄·권성민 PD 카카오M 이적…'마리텔V2' 20일 종영 확정"", '시원스쿨 2020 특별할인, 카카오페이지 퀴즈 정답 공개', '<배구소식>현대캐피탈, 한정판 카카오톡 이모티콘 출시', '“새해 인사 하려는데 먹통”…카카오톡 2시간 15분 수·발신 장애', '카카오, \'죠르디\' 단독 이모티콘 출시…""새해 첫 이모티콘 추천""', ""[2020 AI시대] 인터넷 업계도 'AI 인사이드'… ‘네이버 클로바’ vs ‘카카오..."", ""독주하는 유튜브·넷플릭스…네이버·카카오 맞대응 전략 '분주'"", '네이버‧카카오 실검 개편 작업 박차… 취지 살릴까', ""카카오, '인터넷하는 돌하르방' 지원사업비 1억3000만원 기탁""]]"
2020-01-03,"[[""'사상최대' 네이버 6조-카카오 3조 매출시대 '예고'"", '네이버 vs 카카오… 금융플랫폼 격돌', ""[Y초점] 나영석부터 펭수·카카오까지, 확 줄인 '숏폼' 콘텐츠 몰려온다"", '인플루언서 공략 네이버, 샵탭 집중 카카오', '2020 카카오M 김성수의 네트워크', ""공주시 충남 최초 '카카오톡 민원접수' 시행"", ""택시·카카오·타다 요금 비교 '장거리는 카카오T, 심야는 타다' 유리"", ""증권사들이 꼽은 2020년 유망 종목...'삼성전자·카카오'"", '[20대 유망기업] 카카오 | 톡TV로 콘텐츠 천하평정 꿈꿔', ""카카오, '인터넷하는 돌하르방' 지원사업비 1억3000만원 기탁""]]"
2020-01-06,"[['카카오 2대 생산국들, 초콜릿판 OPEC 결성', ""[시그널 FOCUS] '카카오왕국' 작년 M&A만 15곳···이젠 '돈버는 카카오' 되..."", '[단독] 알리페이처럼…카카오페이 충전잔액, MMF로 굴린다', '아이유, 12년지기 매니저와 이담엔터서 새 출발…카카오M 지분 투자', '카카오, 톡비즈보드 日매출 5억…올해 실적 견인 전망- 유안타', ""[이슈] 재주는 '타다'가 부리고, 돈은 '카카오'가 먹나"", '과천시, 카카오톡으로 민방위 교육 통지서 보낸다', '카카오, 블록체인 클라우드 서비스 올해 출시 가능할까?', '아이유, 이담 엔터테인먼트와 전속 계약 ‘스태프 모두 카카오M에서 함께 이동...', '""카카오, 플랫폼의 선순환"" [유안타증권]']]"
2020-01-07,"[['NH투자證 ""카카오, 올해 광고 매출 본격화…가파른 이익 성장""', ""CES 뜬 라이언…카카오, 캐릭터 앞세워 '내수기업 꼬리표' 뗀다"", ""[마감]신라젠, 신장암 임상 추가 승인 '상한가'...카카오, 실적 기대에 '신고..."", '""카톡으로 공동구매"" 카카오 `톡딜` 떴다', '""공정무역 카카오→비건 간편식까지""...갤러리아百도 \'착한 소비\' 합류', '교체주기 맞은 네이버·카카오 CEO…이해진·김범수의 선택은?', '[기획] 게임사 탑10 2020년 기상도(9)-카카오게임즈', '""\'울산 동구 카드뉴스\' 카카오톡으로 받아 보세요""', ""카카오게임즈 '프렌즈마블', 1대1 대전 '슈퍼리그' 추가"", '카카오페이 신용조회 가입자 넉달만에 300만명… 핀테크 격전지되나']]"
2020-01-08,"[[""루이비통이 카카오를 '콜'했다...모빌리티 법인시장 '후끈'"", ""영화 '남산의 부장들' 카카오페이지에 스페셜 웹툰 공개"", '연일 신고가 찍는 카카오…‘돈버는 회사’로 변신', '카카오게임즈, 모바일 MMORPG ‘테라 클래식’ 시즌2 대규모 업데이트', '볼보건설기계코리아, 카카오커머스 ‘볼보건설기계 쇼핑하기’ 오픈', '카카오, +0.31% 52주 신고가', '이젠 카카오로 공동구매한다…‘톡딜’ 상품도 계속 늘어', ""'모빌리티 혁신' 이뤄가는 카카오...비결은 AI·빅데이터"", '08일, 기관 거래소에서 SK하이닉스(+3.62%), 카카오(-0.31%) 등 순매수', '\'김수현 아나운서♥\' 우왁굳, 2월달 카카오톡 이모티콘 출시…""긴밀한 협의 끝...']]"
2020-01-09,"[['[CES 2020]""라이언과 인증샷 찍자"" CES 사로잡은 카카오', '특허업무에 카카오 AI 기술 활용', '카카오, 특허청과 손잡고 특허 AI 서비스 발굴 착수', '박정호 SKT사장, 국내 \'AI 초협력\' 제안…""삼성·카카오와 논의""', '아모레·카카오 CES 무대 첫 데뷔…첫날부터 흥행', '카카오 인공지능 기술 특허 분야에 활용된다', ""[CES 2020] 카카오IX, '카카오프렌즈 홈킷' 데뷔전… 부스 관람객 '북적'"", '카카오엔터프라이즈, 특허청과 AI 기술 제공 협약 체결', '카카오엔터프라이즈-특허청, 인공지능 기술 제공 분야 협력', '[특징주] 카카오, 성장세 지속 전망에 장중 52주 신고가']]"
2020-01-10,"[[""NHN·카카오, '데이터 3법' 통과로 자회사 성장성 주목"", '카카오와 협력 체결하는 박원주 특허청장', '[게시판] 카카오페이지, 제주도에서 웹툰 캠프 개최', '[출근길] 카카오, 특허청에 AI기술 제공', '카카오, 주요 자회사 가치 상승 지속 ‘목표가↑’-이베스트투자', '박정호 SKT사장 “국내 ICT 기업, 삼성·카카오와 협력해야”', ""카카오, 신규 인증서비스 개발 착수…'신분증TF' 구성"", '카카오, +1.22% 52주 신고가', '나호열 카카오페이 CTO ""블록체인·암호화폐는 혁신금융의 핵심기술""', ""'카카오' 52주 신고가 경신, 외국인, 기관 각각 10일, 4일 연속 순매수""]]"
2020-01-13,"[[""카카오뱅크, '중금리 대출' 1조원 돌파"", '세나클소프트, 카카오벤처스서 30억원 투자 유치', '與 영입 7호는 카카오뱅크 이용우 공동대표', ""평택시, '카카오톡 지방세 상담서비스' 제공"", '카카오뱅크, 중금리 대출 1조 원 공급', '감귤 대신 카카오… 겨울 사라지는 제주', ""카카오게임즈 '프린세스 커넥트', 기무라 PD와 함께한 간담회 성료"", '토스·카카오 증권업 진출 초읽기…상반기 결론에 무게', '카카오 이어 네이버도 인물연관검색 개편···최하단 배치', '카카오, +1.21% 52주 신고가']]"
2020-01-14,"[['미래대우 ""카카오, 톡비즈보드 매출 4배 증가…목표가↑""', ""가맹 택시 '카카오T 블루' 전국으로 확장"", '한화투자 ""카카오, 올해 영업익 90% 증가 전망…목표가↑""', '‘타다’ 가입해서 조합 쫓겨난 택시기사들… “카카오는 괜찮고 왜 타다만 문...', ""벨킨-카카오 콜라보 '무선 충전 패드&스탠드' 신제품 출시"", '롯데백화점, 설 명절 선물 카카오톡 선물하기 서비스', '카카오게임즈 ‘달빛조각사’, 출시 100일 기념 이벤트 진행', '이용우 대표 떠나는 카카오뱅크, 빈 차리는 어떻게 채워지나', '[단독] 카카오 대형택시 \'벤티\'…""안잡히는 이유 있었네""', '대구FC 온라인몰 쇼핑, 네이버·카카오페이로 결제 가능']]"
2020-01-15,"[['[특징주] 카카오, 실적 성장 기대감에 52주 신고가(종합)', '카카오게임즈, ‘달빛조각사’ 출시 100일 기념 이벤트', '카카오, 자회사 성장 본격화…목표가↑-DS', ""카카오페이지, 박보검 출연 웹툰 '달빛조각사' 뮤비 티저 공개"", '식구 많은 카카오, 계열사 숫자만 90개...59개 대기업집단 중 2위', ""카카오도 탐내는 '에듀테크'…VC 투자액도 1년새 2배 '껑충'"", '경찰 “주진모 휴대전화 유출부터 수사, 카카오톡 내용은 이후 검토”', '카카오, +1.20% 52주 신고가', ""카카오게임즈, '테라 클래식' 설맞이 업데이트 진행"", '김범수는 10년만에 어떻게 카카오를 30대 재벌에 올려놨나']]"
